Gene_accession no.,Class,amr_gene,amr_allele,Phenotype,PMID,Mechanism of resistance,Notes,Required_gene,Reference
blaIMP-43_1_AB777500,Beta-lactam,blaIMP,blaIMP-43,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",23836174,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-44_1_AB777501,Beta-lactam,blaIMP,blaIMP-44,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",23836174,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-45_1_EU352796,Beta-lactam,blaIMP,blaIMP-45,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",24777897,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-48_1_KM087857,Beta-lactam,blaIMP,blaIMP-48,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-49_1_KP681694,Beta-lactam,blaIMP,blaIMP-49,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-51_1_LC031883,Beta-lactam,blaIMP,blaIMP-51,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-52_1_LC055762,Beta-lactam,blaIMP,blaIMP-52,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-53_1_HM106457,Beta-lactam,blaIMP,blaIMP-53,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-54_1_KU052795,Beta-lactam,blaIMP,blaIMP-54,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-55_1_KT935306,Beta-lactam,blaIMP,blaIMP-55,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",27430533,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-56_1_KU315553,Beta-lactam,blaIMP,blaIMP-56,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-58_1_KU647281,Beta-lactam,blaIMP,blaIMP-58,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-59_1_KX196782,Beta-lactam,blaIMP,blaIMP-59,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-60_1_LC159227,Beta-lactam,blaIMP,blaIMP-60,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-61_1_KX462700,Beta-lactam,blaIMP,blaIMP-61,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-62_1_KX753224,Beta-lactam,blaIMP,blaIMP-62,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-63_1_KX821663,Beta-lactam,blaIMP,blaIMP-63,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-64_1_KX949735,Beta-lactam,blaIMP,blaIMP-64,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-66_1_LC190726,Beta-lactam,blaIMP,blaIMP-66,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-67_1_MF281100,Beta-lactam,blaIMP,blaIMP-67,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-68_1_MF669572,Beta-lactam,blaIMP,blaIMP-68,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-70_1_MG748725,Beta-lactam,blaIMP,blaIMP-70,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-71_1_MG818167,Beta-lactam,blaIMP,blaIMP-71,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-73_1_MH021848,Beta-lactam,blaIMP,blaIMP-73,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-74_1_MH243349,Beta-lactam,blaIMP,blaIMP-74,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaIMP-75_1_MH243350,Beta-lactam,blaIMP,blaIMP-75,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Unpublished,Enzymatic inactivation,Subclass B1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-1_1_DQ915955,Beta-lactam,blaCTX-M,blaCTX-M-1,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",17210774,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-2_1_AB176535,Beta-lactam,blaCTX-M,blaCTX-M-2,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",15364979,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-3_1_Y10278,Beta-lactam,blaCTX-M,blaCTX-M-3,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",9559791,Enzymatic inactivation,Class A;Alternative name blaCTX-M-133,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-4_1_Y14156,Beta-lactam,blaCTX-M,blaCTX-M-4,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",9593162,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-5_1_U95364,Beta-lactam,blaCTX-M,blaCTX-M-5,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",9687393,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-6_1_AJ005044,Beta-lactam,blaCTX-M,blaCTX-M-6,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",9742701,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-7_1_AJ005045,Beta-lactam,blaCTX-M,blaCTX-M-7,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",9742701,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-8_1_AF189721,Beta-lactam,blaCTX-M,blaCTX-M-8,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",10858358,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-9_1_AF174129,Beta-lactam,blaCTX-M,blaCTX-M-9,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","10858363, 12121950",Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-10_1_AY598759,Beta-lactam,blaCTX-M,blaCTX-M-10,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","15793141, 11158766",Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-12_1_DQ821704,Beta-lactam,blaCTX-M,blaCTX-M-12,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","17227703, 11408239",Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-13_2_AF252623,Beta-lactam,blaCTX-M,blaCTX-M-13,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",11850241,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-14_1_AF252622,Beta-lactam,blaCTX-M,blaCTX-M-14,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","11850241, 17559406",Enzymatic inactivation,"Class A;Alternative name blaCTX-M-14a, blaCTX-M-18",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-14b_1_DQ359215,Beta-lactam,blaCTX-M,blaCTX-M-14b,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",17559406,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-15_1_AY044436,Beta-lactam,blaCTX-M,blaCTX-M-15,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","11470367, 26169409",Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-16_1_AY029068,Beta-lactam,blaCTX-M,blaCTX-M-16,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",11451684,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-17_1_AY033516,Beta-lactam,blaCTX-M,blaCTX-M-17,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",11959547,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-19_1_AF325134,Beta-lactam,blaCTX-M,blaCTX-M-19,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",11709308,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-20_1_AJ416344,Beta-lactam,blaCTX-M,blaCTX-M-20,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",12007800,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-21_1_AJ416346,Beta-lactam,blaCTX-M,blaCTX-M-21,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",12007800,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-22_1_AY080894,Beta-lactam,blaCTX-M,blaCTX-M-22,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","16533535, 17881870",Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-23_1_AF488377,Beta-lactam,blaCTX-M,blaCTX-M-23,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",15201232,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-24_1_EF374096,Beta-lactam,blaCTX-M,blaCTX-M-24,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","17548490, 16533535",Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-25_1_AF518567,Beta-lactam,blaCTX-M,blaCTX-M-25,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",15561863,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-26_1_AY157676,Beta-lactam,blaCTX-M,blaCTX-M-26,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",12493817,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-27_1_AY156923,Beta-lactam,blaCTX-M,blaCTX-M-27,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",12775683,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-28_6_AJ549244,Beta-lactam,blaCTX-M,blaCTX-M-28,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",18603686,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-29_1_AY267213,Beta-lactam,blaCTX-M,blaCTX-M-29,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",16533535,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-30_1_AY292654,Beta-lactam,blaCTX-M,blaCTX-M-30,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",15504875,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-31_1_AJ567481,Beta-lactam,blaCTX-M,blaCTX-M-31,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",12936986,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-32_2_AJ557142,Beta-lactam,blaCTX-M,blaCTX-M-32,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",15155242,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-33_1_AY238472,Beta-lactam,blaCTX-M,blaCTX-M-33,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",17234386,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-34_1_AY515297,Beta-lactam,blaCTX-M,blaCTX-M-34,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",16244084,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-35_1_AB176532,Beta-lactam,blaCTX-M,blaCTX-M-35,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",Unpublished,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-36_1_AB177384,Beta-lactam,blaCTX-M,blaCTX-M-36,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",Unpublished,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-37_1_AY649755,Beta-lactam,blaCTX-M,blaCTX-M-37,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",Unpublished,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-38_1_AY822595,Beta-lactam,blaCTX-M,blaCTX-M-38,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",Unpublished,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-39_1_AY954516,Beta-lactam,blaCTX-M,blaCTX-M-39,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",16251320,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-40_1_AY750914,Beta-lactam,blaCTX-M,blaCTX-M-40,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",16697557,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-41_1_DQ023162,Beta-lactam,blaCTX-M,blaCTX-M-41,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",18487232,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaCTX-M-42_1_DQ061159,Beta-lactam,blaCTX-M,blaCTX-M-42,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin",Unpublished,Enzymatic inactivation,Class A,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
